,date,cnt,day_of_week,date_fix,month
0,1,68,3,2013-01-02,2013-01-01
1,2,36,4,2013-01-03,2013-01-01
2,3,5565,5,2013-01-04,2013-01-01
3,4,4966,6,2013-01-05,2013-01-01
4,5,3346,7,2013-01-06,2013-01-01
5,6,3396,1,2013-01-07,2013-01-01
6,7,4146,2,2013-01-08,2013-01-01
7,8,3096,3,2013-01-09,2013-01-01
8,9,2713,4,2013-01-10,2013-01-01
9,10,2409,5,2013-01-11,2013-01-01
10,11,275,6,2013-01-12,2013-01-01
11,-1,0,7,2013-01-13,2013-01-01
12,12,2735,1,2013-01-14,2013-01-01
13,13,2386,2,2013-01-15,2013-01-01
14,14,1901,3,2013-01-16,2013-01-01
15,15,6072,4,2013-01-17,2013-01-01
16,16,2716,5,2013-01-18,2013-01-01
17,17,216,6,2013-01-19,2013-01-01
18,18,22,7,2013-01-20,2013-01-01
19,19,3903,1,2013-01-21,2013-01-01
20,20,2700,2,2013-01-22,2013-01-01
21,21,2700,3,2013-01-23,2013-01-01
22,22,2073,4,2013-01-24,2013-01-01
23,23,1702,5,2013-01-25,2013-01-01
24,24,231,6,2013-01-26,2013-01-01
25,-1,0,7,2013-01-27,2013-01-01
26,25,3377,1,2013-01-28,2013-01-01
27,26,3016,2,2013-01-29,2013-01-01
28,27,2586,3,2013-01-30,2013-01-01
29,28,1652,4,2013-01-31,2013-01-01
30,29,2726,5,2013-02-01,2013-02-01
31,30,279,6,2013-02-02,2013-02-01
32,31,23,7,2013-02-03,2013-02-01
33,32,4094,1,2013-02-04,2013-02-01
34,33,4059,2,2013-02-05,2013-02-01
35,34,3741,3,2013-02-06,2013-02-01
36,35,2567,4,2013-02-07,2013-02-01
37,36,761,5,2013-02-08,2013-02-01
38,-1,0,6,2013-02-09,2013-02-01
39,-1,0,7,2013-02-10,2013-02-01
40,-1,0,1,2013-02-11,2013-02-01
41,-1,0,2,2013-02-12,2013-02-01
42,-1,0,3,2013-02-13,2013-02-01
43,37,19,4,2013-02-14,2013-02-01
44,38,13,5,2013-02-15,2013-02-01
45,39,2847,6,2013-02-16,2013-02-01
46,40,2936,7,2013-02-17,2013-02-01
47,41,2377,1,2013-02-18,2013-02-01
48,42,1740,2,2013-02-19,2013-02-01
49,43,2563,3,2013-02-20,2013-02-01
50,44,1896,4,2013-02-21,2013-02-01
51,45,1552,5,2013-02-22,2013-02-01
52,46,186,6,2013-02-23,2013-02-01
53,-1,0,7,2013-02-24,2013-02-01
54,47,1874,1,2013-02-25,2013-02-01
55,48,1844,2,2013-02-26,2013-02-01
56,49,1919,3,2013-02-27,2013-02-01
57,50,1191,4,2013-02-28,2013-02-01
58,51,1816,5,2013-03-01,2013-03-01
59,52,87,6,2013-03-02,2013-03-01
60,-1,0,7,2013-03-03,2013-03-01
61,53,1843,1,2013-03-04,2013-03-01
62,54,1900,2,2013-03-05,2013-03-01
63,55,1615,3,2013-03-06,2013-03-01
64,56,1461,4,2013-03-07,2013-03-01
65,57,1514,5,2013-03-08,2013-03-01
66,58,180,6,2013-03-09,2013-03-01
67,59,41,7,2013-03-10,2013-03-01
68,60,1933,1,2013-03-11,2013-03-01
69,61,1812,2,2013-03-12,2013-03-01
70,62,1763,3,2013-03-13,2013-03-01
71,63,1386,4,2013-03-14,2013-03-01
72,64,1345,5,2013-03-15,2013-03-01
73,65,113,6,2013-03-16,2013-03-01
74,-1,0,7,2013-03-17,2013-03-01
75,66,1797,1,2013-03-18,2013-03-01
76,67,1889,2,2013-03-19,2013-03-01
77,68,1445,3,2013-03-20,2013-03-01
78,69,1452,4,2013-03-21,2013-03-01
79,70,1559,5,2013-03-22,2013-03-01
80,71,198,6,2013-03-23,2013-03-01
81,-1,0,7,2013-03-24,2013-03-01
82,72,1739,1,2013-03-25,2013-03-01
83,73,1794,2,2013-03-26,2013-03-01
84,74,1464,3,2013-03-27,2013-03-01
85,75,1279,4,2013-03-28,2013-03-01
86,76,1601,5,2013-03-29,2013-03-01
87,77,171,6,2013-03-30,2013-03-01
88,78,22,7,2013-03-31,2013-03-01
89,79,744,1,2013-04-01,2013-04-01
90,80,2424,2,2013-04-02,2013-04-01
91,81,1959,3,2013-04-03,2013-04-01
92,82,60,4,2013-04-04,2013-04-01
93,83,51,5,2013-04-05,2013-04-01
94,84,30,6,2013-04-06,2013-04-01
95,85,1929,7,2013-04-07,2013-04-01
96,86,1745,1,2013-04-08,2013-04-01
97,87,2143,2,2013-04-09,2013-04-01
98,88,1709,3,2013-04-10,2013-04-01
99,89,1294,4,2013-04-11,2013-04-01
100,90,1527,5,2013-04-12,2013-04-01
101,91,198,6,2013-04-13,2013-04-01
102,-1,0,7,2013-04-14,2013-04-01
103,92,2164,1,2013-04-15,2013-04-01
104,93,1631,2,2013-04-16,2013-04-01
105,94,1859,3,2013-04-17,2013-04-01
106,95,1447,4,2013-04-18,2013-04-01
107,96,1514,5,2013-04-19,2013-04-01
108,97,137,6,2013-04-20,2013-04-01
109,98,36,7,2013-04-21,2013-04-01
110,99,2104,1,2013-04-22,2013-04-01
111,100,1584,2,2013-04-23,2013-04-01
112,101,1449,3,2013-04-24,2013-04-01
113,102,1102,4,2013-04-25,2013-04-01
114,103,1774,5,2013-04-26,2013-04-01
115,104,1462,6,2013-04-27,2013-04-01
116,105,1626,7,2013-04-28,2013-04-01
117,106,73,1,2013-04-29,2013-04-01
118,-1,0,2,2013-04-30,2013-04-01
119,-1,0,3,2013-05-01,2013-05-01
120,107,2484,4,2013-05-02,2013-05-01
121,108,1723,5,2013-05-03,2013-05-01
122,109,104,6,2013-05-04,2013-05-01
123,-1,0,7,2013-05-05,2013-05-01
124,110,2427,1,2013-05-06,2013-05-01
125,111,2587,2,2013-05-07,2013-05-01
126,112,2220,3,2013-05-08,2013-05-01
127,113,1142,4,2013-05-09,2013-05-01
128,114,1934,5,2013-05-10,2013-05-01
129,115,121,6,2013-05-11,2013-05-01
130,116,23,7,2013-05-12,2013-05-01
131,117,2509,1,2013-05-13,2013-05-01
132,118,2284,2,2013-05-14,2013-05-01
133,119,2068,3,2013-05-15,2013-05-01
134,120,1088,4,2013-05-16,2013-05-01
135,121,2030,5,2013-05-17,2013-05-01
136,122,38,6,2013-05-18,2013-05-01
137,-1,0,7,2013-05-19,2013-05-01
138,123,1940,1,2013-05-20,2013-05-01
139,124,2342,2,2013-05-21,2013-05-01
140,125,5581,3,2013-05-22,2013-05-01
141,126,2333,4,2013-05-23,2013-05-01
142,127,1931,5,2013-05-24,2013-05-01
143,128,140,6,2013-05-25,2013-05-01
144,-1,0,7,2013-05-26,2013-05-01
145,129,1794,1,2013-05-27,2013-05-01
146,130,2055,2,2013-05-28,2013-05-01
